term,beta,se,z,p
Intercept,0.9216815805090338,0.21435555105743886,4.299779389720864,1.709682152991741e-05
"C(variant, Treatment(reference='base'))[T.low]",-1.557670347229029,0.3028992397546417,-5.142536338126146,2.71053993194765e-07
"C(variant, Treatment(reference='base'))[T.medium-low]",0.018967595197163373,0.12135645021297241,0.15629655583923655,0.875799271019815
"C(variant, Treatment(reference='base'))[T.high]",0.07684724960209462,0.10992480036677194,0.6990892805416821,0.4844962371626841
